req. rel. error    est integral    est error   abs error  evaluations
   <5.0e-02      1.1096504402e+00   3.4e-02     2.5e-03     292
   <5.0e-03      1.1071935478e+00   4.1e-03     4.5e-05     1181
   <5.0e-04      1.1071470438e+00   5.1e-04     1.7e-06     3105
   <5.0e-05      1.1071488562e+00   5.3e-05     1.4e-07     5657
   <5.0e-06      1.1071486939e+00   5.3e-06     2.4e-08     11239
   <5.0e-07      1.1071487183e+00   5.3e-07     5.5e-10     16377
   <5.0e-08      1.1071487178e+00   5.5e-08     1.0e-12     25553
   <5.0e-09      1.1071487178e+00   5.5e-09     1.1e-11     38577
   <5.0e-10      1.1071487178e+00   5.4e-10     5.2e-13     53081
   <5.0e-11      1.1071487178e+00   5.5e-11     2.6e-13     73949
   <5.0e-12      1.1071487178e+00   5.5e-12     1.8e-15     117794
