instance,optVal,method,lambda,LB,LBv,UB,time,iter(APGR),termcode,iterBP
bqp100-1,-7.97000000e+03,BP,1.00e+05,-8.03641189e+03,-8.03966942e+03,-8.03583492e+03,5.20e+01,7249,2,16
bqp100-1,,sdpnalplus,1.00e+05,-3.75868245e+05,-1.00407342e+04,-3.95528454e+03,1.50e+02,20000,-2,0
bqp100-2,-1.10360000e+04,BP,1.00e+05,-1.10406021e+04,-1.10434463e+04,-1.10396032e+04,1.87e+01,3162,2,13
bqp100-2,,sdpnalplus,1.00e+05,-4.00296248e+04,-1.42457648e+04,-4.55180359e+03,1.39e+02,20000,-1,0
bqp100-3,-1.27230000e+04,BP,1.00e+05,-1.27193592e+04,-1.27230240e+04,-1.27181350e+04,1.88e+01,3530,2,14
bqp100-3,,sdpnalplus,1.00e+05,1.57635548e+04,-1.62291982e+04,-4.54071476e+03,1.42e+02,20000,-2,0
bqp100-4,-1.03680000e+04,BP,1.00e+05,-1.03656717e+04,-1.03682300e+04,-1.03648189e+04,2.33e+01,4113,2,14
bqp100-4,,sdpnalplus,1.00e+05,-1.30585016e+05,-1.33023522e+04,-7.27882388e+03,1.41e+02,20000,-2,0
bqp100-5,-9.08300000e+03,BP,1.00e+05,-9.08105912e+03,-9.08406378e+03,-9.08004533e+03,3.05e+01,5089,3,14
bqp100-5,,sdpnalplus,1.00e+05,-3.73879072e+03,-1.03020095e+04,-7.33501117e+03,1.30e+02,17799,0,0
bqp250-1,-4.56070000e+04,BP,1.00e+05,-4.62271685e+04,-4.62612333e+04,-4.62227200e+04,3.23e+02,8515,2,16
bqp250-2,-4.48100000e+04,BP,1.00e+05,-4.55611413e+04,-4.55988959e+04,-4.55586574e+04,2.87e+02,7472,2,18
bqp250-3,-4.90370000e+04,BP,1.00e+05,-4.94371518e+04,-4.94761102e+04,-4.94325901e+04,2.12e+02,5737,2,14
bqp250-4,-4.12740000e+04,BP,1.00e+05,-4.19904564e+04,-4.20320435e+04,-4.19862688e+04,3.38e+02,8347,2,16
bqp250-5,-4.79610000e+04,BP,1.00e+05,-4.84296603e+04,-4.84700077e+04,-4.84266609e+04,3.26e+02,8012,2,15
bqp500-1,-1.16586000e+05,BP,1.00e+05,-1.33278009e+05,-1.33278009e+05,-1.33269512e+05,3.28e+02,1798,2,15
bqp500-2,-1.28223000e+05,BP,1.00e+05,-1.42163065e+05,-1.42163065e+05,-1.42154334e+05,2.98e+02,1609,2,15
bqp500-3,-1.30812000e+05,BP,1.00e+05,-1.45715381e+05,-1.45715381e+05,-1.45705917e+05,3.60e+02,1966,2,15
bqp500-4,-1.30097000e+05,BP,1.00e+05,-1.47512563e+05,-1.47512563e+05,-1.47502614e+05,3.86e+02,2111,2,15
bqp500-5,-1.25487000e+05,BP,1.00e+05,-1.40946099e+05,-1.40946099e+05,-1.40936921e+05,3.78e+02,1998,2,15
